section,course_code,units,division,requirement_status,requirement_bucket,satisfies_pools,requires_cse101,can_satisfy_capstone,can_satisfy_dc,is_mandatory_for_major,notes,prerequisites,corequisites,requirements_raw
Lower Division — Required CS Core,CSE 12,7,Lower Division,REQUIRED,CS_LD_CORE,REQ_LD,False,False,False,True,,"CSE 5J , or CSE 20 , or CSE 30 , or BME 160 , or equivalent",,"Prerequisite(s): CSE 5J , or CSE 20 , or CSE 30 , or BME 160 , or equivalent."
Lower Division — Required CS Core,CSE 16,5,Lower Division,REQUIRED,CS_LD_CORE,REQ_LD,False,False,False,True,,MATH 19A or MATH 20A or MATH 19B or MATH 20B or MATH 11B or AM 11B or AM 15B or ECON 11B. General Education Code MF,,Prerequisite(s): MATH 19A or MATH 20A or MATH 19B or MATH 20B or MATH 11B or AM 11B or AM 15B or ECON 11B. General Education Code MF
Lower Division — Required CS Core,CSE 20,5,Lower Division,REQUIRED,CS_LD_CORE,REQ_LD,False,False,False,True,,Antirequisite: Students cannot enroll in this class after receiving a C or better in CSE 30 . General Education Code MF,,Antirequisite: Students cannot enroll in this class after receiving a C or better in CSE 30 . General Education Code MF
Lower Division — Required CS Core,CSE 30,7,Lower Division,REQUIRED,CS_LD_CORE,REQ_LD,False,False,False,True,,"CSE 20 or BME 160 ; and MATH 3 or MATH 11A or MATH 19A or MATH 20A or AM 3 or AM 11A or ECON 11A, or a score of 400 or higher on the mathematics placement examination (MPE)",,"Prerequisite(s): CSE 20 or BME 160 ; and MATH 3 or MATH 11A or MATH 19A or MATH 20A or AM 3 or AM 11A or ECON 11A, or a score of 400 or higher on the mathematics placement examination (MPE)."
Lower Division — Required CS Core,CSE 40,5,Lower Division,REQUIRED,CS_LD_CORE,REQ_LD,False,False,False,True,,"MATH 19B or MATH 20B , and CSE 30 . General Education Code SR",,"Prerequisite(s): MATH 19B or MATH 20B , and CSE 30 . General Education Code SR"
Math — Calculus Sequence (Choice Group),MATH 19A,5,Lower Division,CHOICE,MATH_CALC_SEQUENCE,REQ_MATH,False,False,False,False,Calc sequence: choose (MATH 19A+19B) OR (MATH 20A+20B),MATH 3 ; or mathematics placement (MP) score of 400 or higher; or qualifying AP exam. See the UCSC Exam Equivalency Chart in the Undergraduate Academic Program section of the catalog for details. General Education Code MF,,Prerequisite(s): MATH 3 ; or mathematics placement (MP) score of 400 or higher; or qualifying AP exam. See the UCSC Exam Equivalency Chart in the Undergraduate Academic Program section of the catalog for details. General Education Code MF
Math — Calculus Sequence (Choice Group),MATH 19B,5,Lower Division,CHOICE,MATH_CALC_SEQUENCE,REQ_MATH,False,False,False,False,Calc sequence: choose (MATH 19A+19B) OR (MATH 20A+20B),MATH 11A or MATH 19A or MATH 20A or qualifying exam. See the UCSC Exam Equivalency Chart in the Undergraduate Academic Program section of the catalog for details. General Education Code MF,,Prerequisite(s): MATH 11A or MATH 19A or MATH 20A or qualifying exam. See the UCSC Exam Equivalency Chart in the Undergraduate Academic Program section of the catalog for details. General Education Code MF
Math — Calculus Sequence (Choice Group),MATH 20A,5,Lower Division,CHOICE,MATH_CALC_SEQUENCE,REQ_MATH,False,False,False,False,Calc sequence: choose (MATH 19A+19B) OR (MATH 20A+20B),mathematics placement (MP) score of 500 higher; or qualifying exam. See the UCSC Exam Equivalency Chart in the Undergraduate Academic Program section of the catalog for details. General Education Code MF,,Prerequisite(s): mathematics placement (MP) score of 500 higher; or qualifying exam. See the UCSC Exam Equivalency Chart in the Undergraduate Academic Program section of the catalog for details. General Education Code MF
Math — Calculus Sequence (Choice Group),MATH 20B,5,Lower Division,CHOICE,MATH_CALC_SEQUENCE,REQ_MATH,False,False,False,False,Calc sequence: choose (MATH 19A+19B) OR (MATH 20A+20B),MATH 20A . General Education Code MF,,Prerequisite(s): MATH 20A . General Education Code MF
Math — Linear Algebra (Choice Group),AM 10,5,Lower Division,CHOICE,MATH_LINEAR_ALG,REQ_MATH,False,False,False,False,Linear algebra: choose AM 10 OR MATH 21,"AM 20 ; and AM 30 ; and previous or concurrent enrollment in STEV 96 . Enrollment by permission of the instructor and restricted to juniors, seniors, and graduate students",,"Prerequisite(s): AM 20 ; and AM 30 ; and previous or concurrent enrollment in STEV 96 . Enrollment by permission of the instructor and restricted to juniors, seniors, and graduate students."
